# eBE(cm-1)  int. (rel. X0)  beta
11260.968      0.05891      -0.08699
11263.320      0.03122      -0.38332
11265.669      0.02516      -0.54186
11268.016      0.01962      -0.22083
11270.361      0.02057       0.11479
11272.704      0.01394       0.52226
11275.044      0.01142      -0.26720
11277.382      0.01197      -0.70987
11279.717      0.01170      -0.37568
11282.051      0.01461      -0.47805
11284.382      0.01161      -1.05537
11286.711      0.01571      -0.29353
11289.037      0.00767       0.48039
11291.361      0.01519      -0.75111
11293.683      0.01181      -0.94252
11296.003      0.00875      -0.45265
11298.320      0.00140       0.83141
11300.635      0.01527       0.68232
11302.947      0.01085       0.76615
11305.258     -0.00086       1.99456
11307.566      0.00279       3.10492
11309.872      0.02146      -0.25710
11312.175      0.01732      -0.75566
11314.476      0.00158       4.13089
11316.775     -0.00389      -2.78356
11319.072     -0.00206      -0.30472
11321.366      0.00457       0.15853
11323.658      0.01779      -0.50338
11325.947      0.00950       0.19756
11328.235     -0.00253      -2.64646
11330.520      0.00243      -2.89254
11332.803      0.00894      -1.90269
11335.083      0.01872      -0.72431
11337.361      0.00973       0.34993
11339.637      0.01082      -0.28766
11341.911     -0.00392      -2.74004
11344.182     -0.00880      -2.31655
11346.451     -0.00183       1.62962
11348.717      0.01172      -0.80444
11350.982      0.02120      -0.76451
11353.244      0.00112      -6.89150
11355.504     -0.00093       9.45672
11357.761      0.01176       0.39989
11360.016      0.01331       0.33849
11362.269      0.01594      -0.66515
11364.520     -0.00140       2.53210
11366.768      0.00068     -10.57983
11369.014      0.00514      -0.12171
11371.257      0.00351       1.17162
11373.499      0.00086      14.37274
11375.738      0.00574       1.59344
11377.975      0.00988      -0.90991
11380.209     -0.00327       0.19012
11382.441     -0.00647      -1.21474
11384.671      0.00110       3.99497
11386.899      0.01561      -0.11560
11389.124      0.01434       0.29137
11391.347      0.00546       5.40507
11393.567      0.00637       2.88107
11395.786      0.00376      -3.39383
11398.002      0.00312       4.31402
11400.216      0.00590       0.28497
11402.427      0.01102      -1.84363
11404.636      0.01576      -0.91395
11406.843      0.00846      -0.82221
11409.048      0.01299      -0.59237
11411.250      0.00951       0.37653
11413.450      0.00521       0.21434
11415.647      0.00924       0.37729
11417.843     -0.00013     -70.57150
11420.036      0.00550      -0.76403
11422.227      0.01754       0.83997
11424.415      0.01689       4.03385
11426.601      0.00961       9.76645
11428.785      0.01427       7.89955
11430.967      0.00300      17.52997
11433.146     -0.00247      46.16380
11435.323      0.00838      -9.78580
11437.497      0.00388     -11.35668
11439.670      0.00765      -3.32240
11441.840      0.01844      -1.50323
11444.008      0.01443      -3.95556
11446.173      0.01060      -2.82960
11448.336      0.00849      -0.27960
11450.497      0.00534      -1.46890
11452.656      0.00471      -4.55439
11454.812      0.00501      -1.57795
11456.966      0.00177      -2.39013
11459.117      0.00545      -4.06409
11461.267      0.01996      -1.72572
11463.414      0.01860      -1.26564
11465.559      0.01388      -1.58574
11467.701      0.01363      -1.14915
11469.841      0.01230      -1.21681
11471.979     -0.00150       3.14576
11474.115      0.00304      -1.90918
11476.248     -0.00611      -1.64490
11478.379     -0.00055     -15.01233
11480.507      0.00562      -1.91622
11482.634     -0.00850      -1.05174
11484.758      0.00104      -2.36716
11486.880      0.00319      -4.26992
11488.999      0.00102      -4.49887
11491.116      0.00684      -1.15853
11493.231      0.00170      -3.24276
11495.344      0.00458      -3.08396
11497.454     -0.00989      -0.82928
11499.562     -0.00023     -31.31277
11501.667      0.00738      -1.13462
11503.771      0.00575      -0.27503
11505.872      0.01106      -0.75935
11507.971      0.00672      -2.03801
11510.067      0.00367      -2.54740
11512.161      0.00527       0.90817
11514.253     -0.00204       1.73957
11516.343     -0.00592       1.38497
11518.430     -0.00390      -0.29762
11520.515      0.00629       0.79811
11522.597      0.00038      19.92206
11524.678      0.00098      -4.86270
11526.756     -0.00564       0.31057
11528.832     -0.00159      -5.58670
11530.905     -0.00006     -33.37226
11532.976     -0.00119       3.43421
11535.045     -0.00728      -1.48923
11537.112     -0.00939      -1.28050
11539.176      0.00715      -0.55931
11541.238      0.00986      -2.04713
11543.297      0.00829      -0.77072
11545.355     -0.00241      -6.11755
11547.410     -0.00447      -3.80246
11549.463      0.00429      -2.77405
11551.513      0.00728      -2.39164
11553.561      0.00367       0.78681
11555.607      0.00297       1.42181
11557.651      0.00652       1.26813
11559.692      0.00642      -1.63654
11561.731      0.00253      -9.28714
11563.767     -0.00346       0.38231
11565.802     -0.01218      -1.13500
11567.834     -0.00426      -0.19133
11569.864     -0.00093      -6.61230
11571.891     -0.00289      -1.34248
11573.916      0.00469      -0.74421
11575.939     -0.00179      -0.60213
11577.960     -0.00931      -1.51983
11579.978     -0.00661      -1.53604
11581.994      0.00185      -8.00485
11584.007      0.00152      -5.74852
11586.019      0.00190      -4.76526
11588.028      0.01114      -1.97515
11590.035      0.00461      -0.18996
11592.039      0.01041      -0.61154
11594.041     -0.00511      -3.01095
11596.041     -0.01604      -1.88421
11598.039     -0.00381      -2.27059
11600.034      0.00334      -1.89013
11602.027      0.01639      -1.01482
11604.017      0.01914      -0.40032
11606.006      0.00547       0.05994
11607.992      0.00104     -16.91607
11609.976      0.00136      -4.82135
11611.957     -0.00183      -5.12853
11613.936     -0.01110      -1.26719
11615.913      0.00091      15.14337
11617.888      0.01189      -1.39491
11619.860      0.01592      -1.63006
11621.830      0.00157      -1.26559
11623.797      0.00413       2.59636
