# eBE(cm-1)  int. (rel. X0)  beta
11158.871      0.05661      -0.19059
11163.976      0.03098      -0.25476
11169.071      0.01888      -0.22489
11174.156      0.01604      -0.12174
11179.231      0.01471      -0.38822
11184.296      0.01628      -0.53139
11189.351      0.01416      -0.30747
11194.396      0.01405      -0.30680
11199.431      0.01244       0.00067
11204.456      0.01032       0.38572
11209.471      0.01143      -0.03537
11214.476      0.00816      -0.35156
11219.471      0.00293       1.57920
11224.456      0.00789       0.24414
11229.431      0.00942       0.07386
11234.396      0.00961      -0.83135
11239.351      0.00840      -1.06797
11244.296      0.00777      -0.09079
11249.231      0.00341       0.64099
11254.156      0.00779      -0.34259
11259.071      0.01167      -0.75973
11263.976      0.01115      -0.76601
11268.871      0.00884      -0.46979
11273.756      0.00056       8.26145
11278.631      0.00373       1.91655
11283.496      0.00323       2.06409
11288.351      0.00502       0.40790
11293.196      0.00785       0.72960
11298.031      0.00937       1.33317
11302.856      0.01001       0.92168
11307.671      0.01041      -0.80566
11312.476      0.01228      -0.66302
11317.271      0.01196      -0.58344
11322.056      0.00975      -0.00566
11326.831      0.01009       1.99325
11331.596      0.01634       3.41070
11336.351      0.01416       4.61297
11341.096      0.00467       0.56323
11345.831      0.00478     -11.46758
11350.556      0.01352      -3.60124
11355.271      0.01531      -2.73123
11359.976      0.01113      -2.28651
11364.671      0.00735      -2.40435
11369.356      0.00962      -2.18359
11374.031      0.01201      -1.91942
11378.696      0.01523      -1.30679
11383.351      0.01638      -1.34530
11387.996      0.00855      -1.50532
11392.631     -0.00413      -1.65759
11397.256     -0.00436      -0.96669
11401.871      0.00127      -3.84667
11406.476      0.00378      -2.73397
11411.071      0.00166      -3.76663
11415.656      0.00219      -1.52056
11420.231      0.00665      -0.78514
11424.796      0.00372      -0.85730
11429.351      0.00353      -0.99812
11433.896      0.00314      -1.22042
11438.431      0.00040      -0.30349
11442.956     -0.00209       0.69029
11447.471     -0.00331      -0.44780
11451.976     -0.00351      -1.71244
11456.471     -0.00162      -0.75670
11460.956      0.00600      -0.55006
11465.431      0.00416       0.34267
11469.896      0.00133      -0.25745
11474.351      0.00464      -0.38391
11478.796      0.00467      -0.70220
11483.231      0.00345      -1.37610
11487.656     -0.00377      -0.35826
11492.071     -0.00503      -0.90026
11496.476     -0.00318      -0.64082
11500.871     -0.00358      -0.17776
11505.256     -0.00115       3.09854
11509.631      0.00267      -1.92839
11513.996      0.00291      -1.32374
11518.351      0.00181      -0.52014
11522.696      0.00182       3.38524
11527.031      0.01047      -0.07317
11531.356      0.00837      -1.19934
11535.671      0.00077      -5.99991
11539.976     -0.00009     -47.60781
11544.271      0.00673      -0.39853
11548.556      0.00613      -0.10261
11552.831      0.00497       1.38179
11557.096      0.00517       0.36422
11561.351     -0.00107       0.84373
11565.596     -0.00608       0.04502
11569.831     -0.00154       0.64045
11574.056      0.00036      -3.65363
11578.271      0.00370      -1.08969
11582.476      0.00225       1.39695
11586.671      0.00088       4.00807
11590.856      0.00127       3.26351
11595.031      0.00056       9.56499
11599.196      0.00189      -1.20075
11603.351      0.00105      -3.69589
11607.496      0.00163      -2.78568
11611.631      0.00471      -1.80944
11615.756      0.00767      -1.23473
11619.871      0.00149       2.27688
11623.976     -0.00244      -1.53682
11628.071      0.00017      12.25141
11632.156      0.00385      -0.53796
11636.231      0.00749      -0.42932
11640.296      0.00653      -0.29979
11644.351      0.00153      -3.56499
11648.396      0.00020     -54.13461
11652.431      0.00325      -1.55950
11656.456      0.00615      -0.07158
11660.471      0.00323      -0.82286
11664.476      0.00273      -2.71016
11668.471      0.00594      -1.55700
11672.456      0.00543      -1.60638
11676.431      0.00096      -4.58341
11680.396     -0.00291      -1.32558
11684.351     -0.00039       2.28107
11688.296      0.00471      -1.89724
11692.231      0.00833      -0.63588
11696.156      0.00758       0.17757
11700.071      0.00603      -0.57381
11703.976      0.00739      -1.47858
11707.871      0.00695      -1.68504
11711.756     -0.00011      44.71135
11715.631     -0.00501      -1.15736
11719.496     -0.00219      -1.84719
11723.351     -0.00174      -0.99912
11727.196     -0.00173      -2.79155
11731.031      0.00087       0.90125
11734.856     -0.00158      -4.67441
11738.671     -0.00463      -2.73729
11742.476     -0.00307      -2.15927
11746.271     -0.00449      -0.45846
11750.056     -0.00449       0.82215
