#  ~eKE      beta    err   label   CH2CN-12F1CMI1536  12-Feb-19
667.32   -0.004 0.031  12310_12375
#  ~eKE      beta    err   label   CH2CN-12F1CMI1024  12-Feb-19
672.32   -0.020 0.022  12300_12375
561.32   -0.168 0.042  12440_12457
542.32   -0.303 0.020  12457_12478
503.82   -0.376 0.035  12495_12517
462.82   -0.270 0.040  12536_12558
