# eBE(cm-1)  int. (rel. X0)  beta
-121.556      0.00139      -0.87199
 -72.344      0.00040      -0.88459
 -23.228      0.00063      -1.46168
  25.791      0.00079      -1.69410
  74.714     -0.00039      -0.97564
 123.541     -0.00069      -1.35035
 172.271     -0.00026      -2.59583
 220.905      0.00007      10.26488
 269.442      0.00005       3.00465
 317.883      0.00018      -3.72932
 366.228      0.00035      -1.99530
 414.476     -0.00030      -1.05478
 462.628     -0.00022      -3.13748
 510.683      0.00013       6.91931
 558.642      0.00041      -0.32055
 606.505      0.00022      -4.50902
 654.271     -0.00034      -0.17543
 701.941     -0.00033      -0.61129
 749.514     -0.00018      -0.59914
 796.991     -0.00012      -0.49839
 844.372     -0.00009      -0.44663
 891.656     -0.00007      -0.43448
 938.844     -0.00006      -0.44095
 985.935     -0.00006      -0.44965
1032.930     -0.00006      -0.45687
1079.829     -0.00006      -0.44466
1126.631     -0.00005      -0.32807
1173.337      0.00007      -0.81012
1219.946      0.00044      -0.51064
1266.459      0.00064      -0.18159
1312.876      0.00004      10.27280
1359.196     -0.00029      -0.27302
1405.420     -0.00010       2.66637
1451.547      0.00043      -2.04418
1497.578      0.00039      -1.82317
1543.513     -0.00045      -1.23701
1589.351     -0.00028      -1.17874
1635.093     -0.00018      -1.08009
1680.738     -0.00011      -0.92600
1726.287     -0.00009      -0.86213
1771.740     -0.00009      -0.88558
1817.096     -0.00011      -0.95808
1862.356     -0.00012      -0.90935
1907.519      0.00018      -1.57080
1952.586      0.00142      -1.29919
1997.557      0.00287      -1.23675
2042.431      0.00216      -1.01528
2087.209      0.00334      -0.68095
2131.890      0.00820      -0.68489
2176.475      0.00884      -0.70674
2220.964      0.00468      -0.77778
2265.356     -0.00121      -1.71887
2309.652      0.00062      -1.01062
2353.851      0.00156      -0.99015
2397.954      0.00213      -0.97374
2441.961      0.00350      -0.10696
2485.871      0.00420       0.19769
2529.685      0.00482      -0.00517
2573.402      0.00145       2.37501
2617.023     -0.00102      -5.97073
2660.548      0.00099       6.29679
2703.976      0.00612       1.27106
2747.308      0.00927       0.95024
2790.543      0.00979       0.69076
2833.682      0.01264       0.01033
2876.725      0.01548      -0.20061
2919.671      0.00961      -0.04833
2962.521      0.00649      -0.00319
3005.274      0.00707      -0.71861
3047.931      0.01001      -1.09220
3090.492      0.01678      -0.87060
3132.956      0.02663      -0.79326
3175.324      0.01926      -0.88487
3217.595      0.01484      -0.88228
